epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9303,1.92337,9.50196,2.52032,0.40616,0.21765,0.15344,0.08335,1.93936,2.918,3.03454,0.00324561,0.00324561,0.00324561
2,76.0186,1.33212,2.05533,1.93745,0.45015,0.29557,0.17945,0.09444,2.02947,2.75827,3.23762,0.00656266,0.00656266,0.00656266
3,107.144,1.39449,1.93451,1.98491,0.70382,0.19643,0.09868,0.04443,2.91646,10.0472,4.77374,0.00986321,0.00986321,0.00986321
4,136.691,1.46943,2.02704,2.0644,0.65057,0.00893,0.01021,0.00685,3.93193,10.719,6.23935,0.00992575,0.00992575,0.00992575
5,166.214,1.41208,1.88354,2.01222,0.34909,0.21918,0.06485,0.03204,2.84933,36.0778,5.89171,0.009901,0.009901,0.009901
6,195.605,1.36142,1.80465,1.97508,0.71647,0.10673,0.06971,0.032,3.14615,8.89273,5.84524,0.00987625,0.00987625,0.00987625
7,225.04,1.2981,1.71456,1.9027,0.59339,0.27014,0.18371,0.11414,2.12351,8.33648,3.91476,0.0098515,0.0098515,0.0098515
8,255.556,1.28356,1.6504,1.89522,0.58071,0.23172,0.20803,0.13336,2.11475,4.71597,3.3142,0.00982675,0.00982675,0.00982675
9,286.133,1.28086,1.62212,1.88244,0.64503,0.19103,0.14192,0.08364,2.39159,3.75065,3.34401,0.009802,0.009802,0.009802
10,315.548,1.26364,1.6028,1.86553,0.49862,0.42179,0.32809,0.18366,1.6805,2.10681,2.82124,0.00977725,0.00977725,0.00977725
11,345.254,1.2434,1.58043,1.8487,0.49193,0.36992,0.28841,0.1673,2.04557,2.16268,2.95609,0.0097525,0.0097525,0.0097525
12,374.662,1.21385,1.51867,1.82328,0.24918,0.52652,0.36163,0.21013,1.77053,1.99745,2.74843,0.00972775,0.00972775,0.00972775
13,405.2,1.18836,1.48568,1.79122,0.22408,0.49532,0.33985,0.21259,1.4697,1.95397,2.31208,0.009703,0.009703,0.009703
14,435.007,1.18103,1.43043,1.79321,0.25467,0.48902,0.36293,0.1885,1.9027,2.12036,3.02652,0.00967825,0.00967825,0.00967825
15,464.426,1.17364,1.42724,1.77989,0.30202,0.52958,0.39433,0.22303,1.70375,1.69925,2.57796,0.0096535,0.0096535,0.0096535
16,494.876,1.1701,1.41236,1.77708,0.30691,0.64023,0.46789,0.27819,1.37664,1.3867,2.28738,0.00962875,0.00962875,0.00962875
17,525.428,1.15867,1.39546,1.75366,0.33547,0.4907,0.40307,0.24405,1.63938,1.48559,2.543,0.009604,0.009604,0.009604
18,554.859,1.13709,1.36693,1.73325,0.4855,0.37214,0.3779,0.22941,1.61361,1.63438,2.54262,0.00957925,0.00957925,0.00957925
19,584.269,1.16166,1.36862,1.7628,0.32075,0.42545,0.30828,0.18286,1.78061,2.13673,2.55373,0.0095545,0.0095545,0.0095545
